Game ID,Game Name,Year of Release,Platform,Genre,Publisher,Developer,Rating,Decade,Sale of Game
5264,Sentouchu: Densetsu no Shinobi to Survival Battle!,01-01-2013,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.35
5732,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,01-01-2014,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.31
6427,Gundam Breaker,01-01-2013,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.26
6435,Aikatsu! 2-nin no My Princess,01-01-2013,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.26
6890,Star Trek: The Game,01-01-2013,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.24
7124,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,01-01-2011,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.22
7292,Digimon World Re:Digitize,01-01-2012,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.22
7336,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,01-01-2010,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.21
7377,Star Trek: The Game,01-01-2013,X360,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.22
7804,Kamen Rider: Battride War,01-01-2013,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.19
7884,3rd Super Robot Wars Z: Tengoku-Hen,01-01-2015,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.19
7975,Godzilla (2015),01-01-2014,PS4,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.19
8250,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,01-01-2012,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.17
8266,Tamagotchi no Narikiri Challenge,01-01-2010,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.17
8332,Gundam Assault Survive,01-01-2010,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.17
8797,Gundam Breaker 2,01-01-2014,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.15
8822,3rd Super Robot Wars Z: Tengoku-Hen,01-01-2015,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.15
9064,Gundam Breaker 2,01-01-2014,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.14
9414,Super Robot Wars BX,01-01-2015,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.13
9540,Assassination Classroom: Grand Siege on Kuro-sensei,01-01-2015,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.13
9567,Tamagotchi no Pichi Pichi Omisecchi,01-01-2010,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.13
9621,Dynasty Warriors: Gundam Reborn,01-01-2013,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.13
9677,Kidou Senshi Gundam Seed Battle Destiny,01-01-2012,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9696,One Piece: Pirate Warriors 2,01-01-2013,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9714,All Kamen Rider: Rider Generation,01-01-2011,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9724,Gundam Breaker 3,01-01-2016,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9749,Gundam Memories: Tatakai no Kioku,01-01-2011,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9758,Mobile Suit Gundam Side Story: Missing Link,01-01-2014,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
9813,Macross Triangle Frontier,01-01-2011,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.12
10041,Heart Catch PreCure! Oshare Collection,01-01-2010,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.11
10081,Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,01-01-2015,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.11
10261,My Little Sister Can't Be This Cute Portable,01-01-2012,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.11
10400,Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,01-01-2012,PSP,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.11
10422,Taiko no Tatsujin: V Version,01-01-2015,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10427,Kamen Rider: Battride War II,01-01-2014,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10437,Taiko no Tatsujin: Don Don! Mystery Adventure,01-01-2016,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10477,Kidou Senshi Gundam UC,01-01-2012,PS3,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10590,All Kamen Rider: Rider Generation 2,01-01-2012,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10795,Gundam Breaker 3,01-01-2016,PS4,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.10
10830,Gundam Breaker,01-01-2013,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.09
10867,Ouchi Mainichi Tamagotchi,01-01-2012,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.09
10877,Girls und Panzer: I Will Master Tankery,01-01-2014,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.09
11128,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,01-01-2010,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.09
11228,Kuroko's Basketball: Ties to Future,01-01-2015,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.09
11423,Kaijuu Busters Powered,01-01-2011,DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.08
11520,Super Sentai Battle: Ranger Cross,01-01-2011,Wii,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.08
11545,Gekijouban Madoka Magicka: The Battle Pentagram,01-01-2013,PSV,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.08
11640,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,01-01-2012,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.08
11937,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,01-01-2012,3DS,Action,Namco Bandai Games,Unknown,No Rating,2010's,$0.07
